Date,Adj Close,Close,High,Low,Open,Volume
5/9/2018,174.8542328,190.2910614,191.9825287,183.2432404,183.2432404,1411
5/10/2018,168.4213409,183.2902222,187.9417877,182.3035278,187.9417877,1412
5/11/2018,165.0969543,179.672348,196.8690186,178.544693,187.8478241,5024
5/14/2018,162.5496979,176.9002075,182.2095642,174.8328552,178.544693,3163
5/15/2018,158.8367462,172.8594666,183.9480286,170.416214,177.08815,1846
5/16/2018,158.7503815,172.7654877,187.0020752,169.1476135,169.1476135,1848
5/17/2018,164.8810883,179.4374237,187.0020752,172.2016602,173.5642395,1149
5/18/2018,160.6500397,174.8328552,184.8877258,174.7858582,174.9738007,775
5/21/2018,156.8075562,170.6511383,178.4977112,164.9189148,171.0740051,2542
5/22/2018,157.2824707,171.167984,180.6590424,169.4295197,170.6511383,1297
5/23/2018,160.5636749,174.7388763,178.4977112,169.1476135,169.2415771,1816
5/24/2018,155.9872437,169.7584229,173.2823334,168.1609192,169.6174622,1229
5/25/2018,152.7060547,166.1875305,174.1750488,165.7176666,174.1750488,783
5/28/2018,152.5765076,166.0465698,171.3559265,161.91185,166.4224548,3631
5/29/2018,149.9429016,163.1804504,168.583786,161.0191193,161.0661163,2660
5/30/2018,152.0584412,165.4827423,166.2345123,160.8781738,160.9251556,463
5/31/2018,152.7923889,166.2814941,169.9933472,162.8515625,162.8515625,229
6/1/2018,148.3886566,161.4889832,164.496048,159.7505188,163.5563354,2472
6/4/2018,140.7468719,153.1725616,161.0661163,150.3534241,159.8444824,4319
6/5/2018,138.9335785,151.199173,155.5218353,142.8827515,150.447403,1718
6/6/2018,149.8565674,163.0864868,170.040329,150.3534241,150.7763062,4333
6/7/2018,146.8343811,159.7975006,163.5093536,158.3409576,158.4819183,1451
6/8/2018,149.6838531,162.8985443,168.6777496,159.1866913,166.2345123,5087
6/11/2018,154.0444183,167.6440735,173.752182,156.9313965,162.8985443,1519
6/12/2018,151.8425751,165.247818,172.624527,164.496048,172.624527,2375
6/13/2018,151.3676453,164.7309723,167.5501099,163.5093536,163.5093536,1022
6/14/2018,147.5251617,160.5492706,166.6573792,157.8241119,166.6103973,2134
6/15/2018,145.1937866,158.0120544,163.0864868,157.1663208,157.8710938,1503
6/18/2018,146.4026489,159.327652,161.535965,156.6494751,161.535965,560
6/19/2018,141.9989319,154.535141,164.3081055,153.6424103,159.1866913,4881
6/20/2018,145.236969,158.0590363,160.6902313,153.783371,153.783371,400
6/21/2018,143.0782623,155.7097778,160.0324249,152.2798309,153.1725616,1924
6/22/2018,135.6955414,147.6752625,154.8170471,146.7825317,153.2195435,7207
